z_angstrom,cp2k_v_hartree_raw_hartree,conventional_electrostatic_potential_hartree,conventional_electrostatic_potential_ev
28.5204587573,3.578957390600e-03,-3.578957390600e-03,-9.738839191355e-02
28.6862753780,2.045417804252e-02,-2.045417804252e-02,-5.565865390592e-01
28.8520919987,5.433408920000e-02,-5.433408920000e-02,-1.478505887545e+00
29.0179086194,1.090765672000e-01,-1.090765672000e-01,-2.968124600466e+00
29.1837252400,1.845929680000e-01,-1.845929680000e-01,-5.023030550541e+00
29.3495418607,2.724215080000e-01,-2.724215080000e-01,-7.412966875903e+00
29.5153584814,3.542117520000e-01,-3.542117520000e-01,-9.638592796540e+00
29.6811751021,4.086841200000e-01,-4.086841200000e-01,-1.112086144192e+01
29.8469917228,4.259678760000e-01,-4.259678760000e-01,-1.159117640222e+01
30.0128083434,4.170588400000e-01,-4.170588400000e-01,-1.134874918254e+01
30.1786249641,4.066290920000e-01,-4.066290920000e-01,-1.106494128127e+01
30.3444415848,4.119479480000e-01,-4.119479480000e-01,-1.120967472627e+01
30.5102582055,4.206417080000e-01,-4.206417080000e-01,-1.144624398756e+01
30.6760748262,3.955626240000e-01,-3.955626240000e-01,-1.076380734614e+01
30.8418914469,3.188862640000e-01,-3.188862640000e-01,-8.677337298244e+00
31.0077080675,2.140941320000e-01,-2.140941320000e-01,-5.825798118852e+00
31.1735246882,1.162064116000e-01,-1.162064116000e-01,-3.162137550308e+00
31.3393413089,4.047010720000e-02,-4.047010720000e-02,-1.101247718436e+00
31.5051579296,-1.317532674800e-02,1.317532674800e-02,3.585189050569e-01
31.6709745503,-4.914986720000e-02,4.914986720000e-02,1.337436020318e+00
31.8367911710,-7.134402880000e-02,7.134402880000e-02,1.941369924022e+00
32.0026077916,-8.173809200000e-02,8.173809200000e-02,2.224206792422e+00
32.1684244123,-8.046003440000e-02,8.046003440000e-02,2.189429073424e+00
32.3342410330,-6.606819040000e-02,6.606819040000e-02,1.797807047548e+00
32.5000576537,-3.582594360000e-02,3.582594360000e-02,9.748735889266e-01
32.6658742744,1.356774368000e-02,-1.356774368000e-02,-3.691971137630e-01
32.8316908950,8.388607480000e-02,-8.388607480000e-02,-2.282656382043e+00
32.9975075157,1.714124080000e-01,-1.714124080000e-01,-4.664369241443e+00
33.1633241364,2.630400920000e-01,-2.630400920000e-01,-7.157685541592e+00
33.3291407571,3.378084600000e-01,-3.378084600000e-01,-9.192236482222e+00
33.4949573778,3.778069600000e-01,-3.778069600000e-01,-1.028065111498e+01
33.6607739985,3.822288080000e-01,-3.822288080000e-01,-1.040097572883e+01
33.8265906191,3.702257080000e-01,-3.702257080000e-01,-1.007435473858e+01
33.9924072398,3.664218480000e-01,-3.664218480000e-01,-9.970846434897e+00
34.1582238605,3.772738520000e-01,-3.772738520000e-01,-1.026614450728e+01
34.3240404812,3.759835320000e-01,-3.759835320000e-01,-1.023103311138e+01
34.4898571019,3.280224480000e-01,-3.280224480000e-01,-8.925945529883e+00
34.6556737225,2.342908840000e-01,-2.342908840000e-01,-6.375379738438e+00
34.8214903432,1.288960720000e-01,-1.288960720000e-01,-3.507440800783e+00
34.9873069639,3.970572520000e-02,-3.970572520000e-02,-1.080447824594e+00
35.1531235846,-2.641481240000e-02,2.641481240000e-02,7.187836628317e-01
35.3189402053,-7.242701280000e-02,7.242701280000e-02,1.970839419944e+00
35.4847568260,-1.029128520000e-01,1.029128520000e-01,2.800401365448e+00
35.6505734466,-1.210371800000e-01,1.210371800000e-01,3.293589455105e+00
